delivery_time_days
0.09
1.00
0.09
0.07
1.12
0.08
0.09
0.06
0.12
0.02
0.06
0.93
0.08
0.15
0.09
0.06
0.08
0.08
1.04
0.05
1.02
0.17
0.94
0.14
NULL
0.12
0.12
0.97
0.02
0.16
1.01
0.22
0.13
0.98
1.01
0.08
1.09
1.34
0.10
0.12
102.90
0.09
0.93
1.13
0.14
1.04
0.98
0.12
0.98
0.86
0.11
0.93
0.86
0.91
0.25
102.74
0.27
1.10
0.06
0.93
0.92
1.19
1.02
0.15
0.09
0.06
0.10
1.09
0.10
0.09
0.05
0.09
0.05
NULL
0.04
103.96
1.05
NULL
1.08
1.38
0.14
2.26
0.91
0.02
0.19
0.12
0.13
0.96
0.06
1.04
0.12
0.28
0.07
0.17
0.10
0.24
0.05
0.13
104.09
0.09
1.11
1.24
0.02
0.12
1.06
0.94
0.02
0.08
1.00
0.22
0.09
0.87
0.04
1.04
0.02
103.01
0.10
0.05
0.11
0.07
0.01
1.11
1.05
0.06
0.16
0.10
1.02
1.02
0.14
0.03
0.14
0.04
1.08
0.21
1.02
0.10
1.23
0.19
0.30
0.87
0.14
0.05
0.91
0.92
0.07
0.93
1.04
2.05
1.00
0.88
0.08
0.10
0.09
0.05
0.06
0.03
102.73
0.09
0.07
0.96
0.02
0.91
0.10
0.02
0.91
0.95
1.02
0.17
0.06
0.02
0.94
1.07
0.95
0.13
0.08
0.06
0.16
0.15
2.20
0.10
0.06
0.01
0.03
0.10
1.09
1.17
0.91
0.05
0.06
0.07
0.11
0.27
0.03
0.13
0.89
0.94
0.05
0.08
0.16
0.09
0.03
0.18
0.94
0.08
1.07
2.38
2.11
0.03
0.06
0.19
0.14
0.96
0.15
0.88
0.08
0.07
0.23
0.94
1.09
0.98
0.02
0.07
1.07
0.02
0.05
0.08
0.91
1.02
0.94
NULL
0.12
0.18
0.98
0.12
0.09
0.11
NULL
0.94
0.13
0.09
0.05
0.95
0.97
0.13
1.16
0.16
NULL
1.01
0.96
0.07
0.08
NULL
0.07
1.00
0.21
0.02
0.96
0.09
0.09
0.07
0.09
0.15
0.07
0.12
0.06
0.97
1.09
0.99
0.11
0.07
0.90
NULL
0.06
0.14
0.09
0.05
0.07
0.07
0.05
2.03
1.08
102.76
0.09
1.10
0.02
103.13
0.05
0.11
0.14
0.07
0.95
0.15
0.19
0.06
0.15
0.09
0.11
0.95
0.12
0.08
1.01
0.89
0.12
0.06
0.94
0.08
0.14
2.22
0.10
NULL
3.52
0.16
0.90
0.08
0.91
0.97
1.21
0.09
0.06
0.08
0.25
1.09
0.25
0.25
NULL
1.05
0.06
0.08
2.28
0.26
0.96
0.09
0.89
0.11
0.14
0.13
0.07
0.13
0.04
1.06
0.10
0.08
1.08
0.13
102.77
0.89
0.04
0.15
1.19
0.10
0.07
0.13
0.12
0.91
0.08
0.88
0.14
1.02
1.08
0.14
0.08
0.94
0.09
0.08
0.18
0.14
0.12
0.92
0.06
0.95
0.15
0.10
0.89
0.06
1.06
0.09
0.22
0.08
0.02
0.96
NULL
0.13
0.11
0.92
1.12
1.04
0.89
0.08
1.01
1.08
0.03
1.04
0.07
0.95
0.09
1.01
0.07
0.20
0.14
0.12
0.07
0.98
0.08
0.09
0.12
1.12
0.08
0.31
0.10
0.89
1.09
1.03
0.95
0.96
0.25
0.06
0.06
0.13
0.85
0.16
1.10
1.04
0.89
0.91
0.07
0.10
0.06
0.09
0.12
0.04
1.05
1.11
0.14
0.99
0.04
0.09
1.21
0.97
0.90
0.88
0.07
0.19
0.14
0.17
0.95
0.06
0.07
0.08
0.10
0.92
1.27
0.09
0.91
0.14
0.09
1.05
0.97
0.07
0.06
0.07
0.12
0.04
0.07
0.08
0.87
1.03
NULL
0.95
0.01
0.10
0.95
0.01
0.01
0.09
0.95
0.09
0.03
0.09
1.00
0.05
0.06
1.04
0.88
0.09
2.26
1.10
NULL
0.13
0.21
0.11
0.21
0.04
0.06
0.89
NULL
0.08
NULL
0.11
0.05
0.02
0.09
0.08
0.09
2.12
1.04
0.09
0.07
0.97
0.09
0.07
0.04
0.07
0.06
1.08
0.02
0.06
0.14
0.02
0.88
0.93
